Actions permissions (VBO) (actions_permissions),7.x-3.5,Not installed
Administration Development tools (admin_devel),7.x-3.0-rc5,Not installed
Administration menu (admin_menu),7.x-3.0-rc5,Not installed
Administration menu Toolbar style (admin_menu_toolbar),7.x-3.0-rc5,Not installed
Bulk Export (bulk_export),7.x-1.14,Not installed
Chaos tools (ctools),7.x-1.14,Enabled
Chaos Tools (CTools) AJAX Example (ctools_ajax_sample),7.x-1.14,Not installed
Chaos Tools (CTools) Plugin Example (ctools_plugin_example),7.x-1.14,Not installed
Custom content panes (ctools_custom_content),7.x-1.14,Not installed
Custom rulesets (ctools_access_ruleset),7.x-1.14,Not installed
Page manager (page_manager),7.x-1.14,Not installed
Stylizer (stylizer),7.x-1.14,Not installed
Term Depth access (term_depth),7.x-1.14,Not installed
Views content panes (views_content),7.x-1.14,Not installed
Date (date),7.x-2.10,Not installed
Date All Day (date_all_day),7.x-2.10,Not installed
Date API (date_api),7.x-2.10,Enabled
Date Context (date_context),7.x-2.10,Not installed
Date Picker (datepicker),7.x-1.0,Enabled
Date Picker Block (datepicker_block),7.x-1.0,Not installed
Date Picker Views (datepicker_views),7.x-1.0,Enabled
Date Popup (date_popup),7.x-2.10,Enabled
Date Repeat API (date_repeat),7.x-2.10,Not installed
Date Repeat Field (date_repeat_field),7.x-2.10,Not installed
Date Tools (date_tools),7.x-2.10,Not installed
Date Views (date_views),7.x-2.10,Enabled
Devel (devel),7.x-1.6,Not installed
Devel generate (devel_generate),7.x-1.6,Not installed
Devel node access (devel_node_access),7.x-1.6,Not installed
Nodequeue generate (nodequeue_generate),7.x-2.1,Not installed
Digital Grinnell v7 Code (dg7),Enabled
Date Migration Example (date_migrate_example),7.x-2.10,Not installed
Features (features),7.x-2.11,Not installed
FE Block (fe_block),7.x-1.0,Not installed
FE Date (fe_date),7.x-1.0,Not installed
FE Nodequeue (fe_nodequeue),7.x-1.0,Not installed
FE Profile (fe_profile),7.x-1.0,Not installed
Entity Reference (entityreference),7.x-1.5,Not installed
Entity Reference Behavior Example (entityreference_behavior_example),7.x-1.5,Not installed
Link (link),7.x-1.5,Not installed
Markdown filter (markdown),7.x-1.5,Enabled
Compound Object Zip File Importer (islandora_compound_object_zip_importer),7.x-1.11,Not installed
Islandora (islandora),7.x-1.11,Enabled
Islandora Book Batch (islandora_book_batch),7.x-1.11,Enabled
Islandora Entities CSV Import (islandora_entities_csv_import),7.x-1.11,Enabled
Islandora Newspaper Batch (islandora_newspaper_batch),7.x-1.11,Enabled
Islandora Populator (islandora_populator),7.x-1.11,Enabled
Islandora Solr Facet Pages (islandora_solr_facet_pages),7.x-1.11,Enabled
Islandora Solr Metadata (islandora_solr_metadata),7.x-1.11,Enabled
Islandora Webform (islandora_webform),7.x-1.4-rc1,Enabled
Islandora Webform Ingest (islandora_webform_ingest),Enabled
Islandora XSLT Populator (islandora_xslt_populator),7.x-1.11,Not installed
Islandora Form - Fieldpanel element (islandora_form_fieldpanel),7.x-1.11,Enabled
Islandora XML Form API (xml_form_api),7.x-1.11,Enabled
Islandora XML Form Elements (xml_form_elements),7.x-1.11,Enabled
Islandora XML Schema API (xml_schema_api),7.x-1.11,Enabled
Objective Forms (objective_forms),7.x-1.11,Enabled
PHP Lib (php_lib),7.x-1.11,Enabled
Islandora Solr (islandora_solr),7.x-1.11,Enabled
Islandora Solr display profiles (islandora_solr_config),7.x-1.11,Enabled
Islandora Solr Views (islandora_solr_views),7.x-1.11,Enabled
Bibutils (bibutils),7.x-1.11,Enabled
Citation Exporter (citation_exporter),7.x-1.11,Enabled
Citeproc (citeproc),7.x-1.11,Enabled
DOI Importer (doi_importer),7.x-1.11,Enabled
DOI Populator (doi_populator),7.x-1.11,Not installed
EndNote XML Populator (endnotexml_populator),7.x-1.11,Not installed
EndNoteXML Importer (endnotexml_importer),7.x-1.11,Enabled
Islandora Audio (islandora_audio),7.x-1.11,Enabled
Islandora basic collection (islandora_basic_collection),7.x-1.11,Enabled
Islandora basic image (islandora_basic_image),7.x-1.11,Enabled
Islandora Bibliography (islandora_bibliography),7.x-1.11,Enabled
Islandora Book Solution Pack (islandora_book),7.x-1.11,Enabled
Islandora compound object (islandora_compound_object),7.x-1.11,Enabled
Islandora Disk Image Solution Pack (islandora_disk_image),7.x-1.11,Enabled
Islandora DOI (islandora_doi),7.x-1.11,Enabled
